id_seccion,nombre,distrito,distrito_federal,circunscripcion,lat,lon,poblacion,padron_electoral,lista_nominal,tipo_zona,area,geometry_geojson
3762,Sección 3762 · Tlalpan,16,14,1,19.29721796091085,-99.17164993992688,2085,1710,1686,urbana,8.349597336383147e-06,"{""type"": ""Polygon"", ""coordinates"": [[[-99.17516644358498, 19.2966335548587], [-99.1689651141903, 19.2961297719702], [-99.1682883091686, 19.2978217913264], [-99.17457620041938, 19.2978725413377], [-99.17516644358498, 19.2966335548587]]]}"
3763,Sección 3763 · Tlalpan,16,14,1,19.29548850353252,-99.17218963776862,1626,1659,1643,urbana,1.3847441982460281e-05,"{""type"": ""Polygon"", ""coordinates"": [[[-99.1756302924874, 19.2950978318078], [-99.1707580623609, 19.2934512736774], [-99.1689651141903, 19.2961297719702], [-99.1726930034821, 19.2972345130071], [-99.1756302924874, 19.2950978318078]]]}"
3764,Sección 3764 · Tlalpan,16,14,1,19.294315657841658,-99.16730692459892,754,694,683,urbana,1.268099754604115e-05,"{""type"": ""Polygon"", ""coordinates"": [[[-99.1689651141903, 19.2961297719702], [-99.170363408481, 19.294396470635], [-99.1662001364695, 19.2918913525418], [-99.1645782905731, 19.2944336479727], [-99.1655209495592, 19.2960101496755], [-99.1689651141903, 19.2961297719702]]]}"
3765,Sección 3765 · Tlalpan,16,14,1,19.289434670689065,-99.1638609439572,1153,1058,1042,urbana,3.018710465770048e-05,"{""type"": ""Polygon"", ""coordinates"": [[[-99.1589239536217, 19.2924700200624], [-99.1624148761067, 19.2897841474168], [-99.1640311780754, 19.2850069250686], [-99.16747756182751, 19.2860583944781], [-99.1655974377277, 19.2916802166063], [-99.1636331821533, 19.2909920863211], [-99.1625373794872, 19.2938393874525], [-99.1589239536217, 19.2924700200624]]]}"
3766,Sección 3766 · Tlalpan,16,14,1,19.290011628078567,-99.16958310670825,1579,1053,1040,urbana,4.054285335508207e-05,"{""type"": ""Polygon"", ""coordinates"": [[[-99.16747756182751, 19.2860583944781], [-99.1743623842359, 19.2887067572951], [-99.170363408481, 19.294396470635], [-99.1655974377277, 19.2916802166063], [-99.16747756182751, 19.2860583944781]]]}"
3767,Sección 3767 · Tlalpan,16,14,1,19.293053051916168,-99.17464201004385,1289,1220,1205,urbana,2.2000450920394807e-05,"{""type"": ""Polygon"", ""coordinates"": [[[-99.1780523157863, 19.2952304428512], [-99.1782332842646, 19.2928728317591], [-99.173620634083, 19.2897596410403], [-99.1707580623609, 19.2934512736774], [-99.1780523157863, 19.2952304428512]]]}"
3769,Sección 3769 · Tlalpan,14,14,2,19.305327882372026,-99.2278497955654,1330,1097,1085,urbana,1.983312120170285e-05,"{""type"": ""Polygon"", ""coordinates"": [[[-99.2312805349435, 19.3052235613644], [-99.22437194031, 19.3075222598052], [-99.2228564916865, 19.3088220129231], [-99.2243992895485, 19.3055162998116], [-99.23035357231008, 19.3018717061084], [-99.2312805349435, 19.3052235613644]]]}"
3770,Sección 3770 · Tlalpan,14,14,2,19.30868731356937,-99.22531995117842,1259,924,920,urbana,9.744068043027474e-06,"{""type"": ""Polygon"", ""coordinates"": [[[-99.22404131698671, 19.3109130348468], [-99.2228564916865, 19.3088220129231], [-99.227171688637, 19.3065858125538], [-99.2277925192274, 19.3079000321833], [-99.22404131698671, 19.3109130348468]]]}"
3771,Sección 3771 · Tlalpan,14,14,2,19.305260095891125,-99.22409178284778,1297,1362,1350,urbana,4.780258699220871e-05,"{""type"": ""Polygon"", ""coordinates"": [[[-99.22404131698671, 19.3109130348468], [-99.222748421994, 19.30924162395], [-99.2243898901138, 19.3068282309634], [-99.2232161002551, 19.3039830087413], [-99.2245896151235, 19.3050053461108], [-99.2272976670449, 19.3039305518554], [-99.2313613906318, 19.2996998736619], [-99.2268582007987, 19.2988109133866], [-99.2271914143745, 19.3026026744081], [-99.22066354340322, 19.3038573954143], [-99.2188564343425, 19.3106662862021], [-99.22404131698671, 19.3109130348468]]]}"
3772,Sección 3772 · Tlalpan,14,14,2,19.306989886880128,-99.21866490312519,698,473,469,urbana,1.3703949397868768e-05,"{""type"": ""Polygon"", ""coordinates"": [[[-99.2180479767555, 19.3096299224442], [-99.21645227495, 19.3081641681282], [-99.2169699282505, 19.3061306518835], [-99.2184350317628, 19.3062399192747], [-99.219123853428, 19.3035645142197], [-99.22066354340322, 19.3038573954143], [-99.2188564343425, 19.3106662862021], [-99.2180479767555, 19.3096299224442]]]}"
3773,Sección 3773 · Tlalpan,14,14,2,19.303890831407177,-99.21819952471188,1156,870,867,urbana,7.189811556929277e-06,"{""type"": ""Polygon"", ""coordinates"": [[[-99.2184350317628, 19.3062399192747], [-99.2169278388142, 19.3058519609344], [-99.218068524095, 19.3012795630917], [-99.2194363447825, 19.3021988091273], [-99.2184350317628, 19.3062399192747]]]}"
3774,Sección 3774 · Tlalpan,14,14,2,19.300907697197097,-99.21411140559088,2734,2318,2284,urbana,0.00012219095338885513,"{""type"": ""Polygon"", ""coordinates"": [[[-99.21645227495, 19.3081641681282], [-99.2037729250802, 19.3049909050283], [-99.21584429462538, 19.2936706086386], [-99.22142251248509, 19.2934529370721], [-99.222377852833, 19.2976030632109], [-99.2190971366834, 19.2974555205507], [-99.21645227495, 19.3081641681282]]]}"
3775,Sección 3775 · Tlalpan,14,14,2,19.301004254691538,-99.20045921649366,1724,1389,1367,urbana,4.075468757320139e-05,"{""type"": ""Polygon"", ""coordinates"": [[[-99.2038779786929, 19.3053435275243], [-99.1977673188723, 19.3028371984245], [-99.198592937357, 19.3013281851276], [-99.1968276959424, 19.3006979433779], [-99.1977625104363, 19.3000312639392], [-99.1955795634856, 19.2966782321053], [-99.2012676031351, 19.297437003481], [-99.2034613777998, 19.3002707158731], [-99.2015235922026, 19.3012717184498], [-99.20195973791971, 19.3024495154278], [-99.2060915805635, 19.303510765328], [-99.2038779786929, 19.3053435275243]]]}"
3776,Sección 3776 · Tlalpan,14,14,2,19.299773024876135,-99.19440731293452,1258,1011,1001,urbana,2.9081714210712637e-05,"{""type"": ""Polygon"", ""coordinates"": [[[-99.19716063713662, 19.3025357813585], [-99.1906519146913, 19.3023562757949], [-99.19226112075401, 19.2966808242104], [-99.1939417593249, 19.2959942550147], [-99.196319568085, 19.2979625551676], [-99.1977625104363, 19.3000312639392], [-99.1968276959424, 19.3006979433779], [-99.198635165583, 19.3014612781365], [-99.19716063713662, 19.3025357813585]]]}"
3777,Sección 3777 · Tlalpan,14,14,2,19.29981876955606,-99.18923653879729,1154,856,844,urbana,2.828338522194457e-05,"{""type"": ""Polygon"", ""coordinates"": [[[-99.1906519146913, 19.3023562757949], [-99.1859766046908, 19.3028700113003], [-99.18565661225608, 19.3001333922611], [-99.1894350864004, 19.2963796055863], [-99.19226112075401, 19.2966808242104], [-99.1906519146913, 19.3023562757949]]]}"
3778,Sección 3778 · Tlalpan,14,14,2,19.298524866857996,-99.18661486498941,771,568,561,urbana,5.393237839901743e-06,"{""type"": ""Polygon"", ""coordinates"": [[[-99.18565661225608, 19.3001333922611], [-99.1877109065234, 19.2992883188008], [-99.1877386437283, 19.2970488647024], [-99.1853649173484, 19.297594432], [-99.18565661225608, 19.3001333922611]]]}"
3779,Sección 3779 · Tlalpan,14,14,2,19.29664659647534,-99.18710233897524,774,609,606,urbana,6.582077271558789e-06,"{""type"": ""Polygon"", ""coordinates"": [[[-99.1889586642758, 19.2976864663828], [-99.1853649173484, 19.297594432], [-99.1847195493148, 19.2955559656607], [-99.1894350864004, 19.2963796055863], [-99.1889586642758, 19.2976864663828]]]}"
3780,Sección 3780 · Tlalpan,14,14,2,19.291981101729533,-99.19918702862715,1375,1237,1225,urbana,0.0002923144133597899,"{""type"": ""Polygon"", ""coordinates"": [[[-99.21279823967001, 19.2976174611869], [-99.1894350864004, 19.2963796055863], [-99.17960549163828, 19.2933722723624], [-99.1857891815133, 19.2926916844673], [-99.1859065642392, 19.2899459832473], [-99.18910906621818, 19.2867054043092], [-99.20951716228679, 19.2861234000488], [-99.2123102604712, 19.2881162952578], [-99.21083307837891, 19.2924958666203], [-99.21530397453999, 19.2944469245629], [-99.21279823967001, 19.2976174611869]]]}"
3781,Sección 3781 · Tlalpan,14,14,2,19.300002544143513,-99.20594231694697,2497,1738,1718,urbana,3.8118412274678545e-05,"{""type"": ""Polygon"", ""coordinates"": [[[-99.2060915805635, 19.303510765328], [-99.20195973791971, 19.3024495154278], [-99.2015235922026, 19.3012717184498], [-99.2034613777998, 19.3002707158731], [-99.2012676031351, 19.297437003481], [-99.21279823967001, 19.2976174611869], [-99.2060915805635, 19.303510765328]]]}"
3782,Sección 3782 · Tlalpan,14,14,2,19.298724780109538,-99.21972546802431,828,594,588,urbana,4.536329466932387e-06,"{""type"": ""Polygon"", ""coordinates"": [[[-99.2195467870398, 19.3002820409462], [-99.21843719040379, 19.2998900023093], [-99.2190971366834, 19.2974555205507], [-99.22138466324229, 19.2979489882017], [-99.2195467870398, 19.3002820409462]]]}"
3783,Sección 3783 · Tlalpan,14,14,2,19.300063828341536,-99.22044193985033,1148,852,841,urbana,9.71590436540857e-06,"{""type"": ""Polygon"", ""coordinates"": [[[-99.2202626575601, 19.301875267135], [-99.218068524095, 19.3012795630917], [-99.2211762625134, 19.2986447391527], [-99.22115028965989, 19.2967513139801], [-99.22228553942638, 19.2976166630381], [-99.2202626575601, 19.301875267135]]]}"
3784,Sección 3784 · Tlalpan,14,14,2,19.302862174096944,-99.22011457900487,385,282,276,urbana,2.9464164311132088e-06,"{""type"": ""Polygon"", ""coordinates"": [[[-99.22066354340322, 19.3038573954143], [-99.21899029490922, 19.3033284809085], [-99.2201354783949, 19.3018593975342], [-99.22117817492858, 19.3020430270121], [-99.22066354340322, 19.3038573954143]]]}"
3785,Sección 3785 · Tlalpan,14,14,2,19.3026949418335,-99.22297435163955,1770,1697,1676,urbana,6.864431639037018e-06,"{""type"": ""Polygon"", ""coordinates"": [[[-99.2252855811332, 19.3029457842349], [-99.22224262498202, 19.3037459008056], [-99.22066354340322, 19.3038573954143], [-99.22117817492858, 19.3020430270121], [-99.2252528109517, 19.3016797223633], [-99.2252855811332, 19.3029457842349]]]}"
3786,Sección 3786 · Tlalpan,14,14,2,19.30092414781575,-99.22306193789356,1757,1687,1673,urbana,6.6493270760444036e-06,"{""type"": ""Polygon"", ""coordinates"": [[[-99.2252528109517, 19.3016797223633], [-99.22117817492858, 19.3020430270121], [-99.2219107756455, 19.2991129459019], [-99.2226452823598, 19.3004852454105], [-99.225131807659, 19.3002958655965], [-99.2252528109517, 19.3016797223633]]]}"
3787,Sección 3787 · Tlalpan,14,14,2,19.299223869384903,-99.22425555803282,1778,1643,1630,urbana,6.759362458189018e-06,"{""type"": ""Polygon"", ""coordinates"": [[[-99.2257790225554, 19.300243744282], [-99.2226452823598, 19.3004852454105], [-99.2230459294246, 19.2979326867382], [-99.2249927928289, 19.2985102508098], [-99.2255168052207, 19.2973631863097], [-99.2257790225554, 19.300243744282]]]}"
3788,Sección 3788 · Tlalpan,14,14,2,19.300971888765325,-99.2261940235833,1839,1753,1718,urbana,6.477515884809549e-06,"{""type"": ""Polygon"", ""coordinates"": [[[-99.2271914143745, 19.3026026744081], [-99.2253614469796, 19.3029509097648], [-99.2256517528178, 19.298816141266], [-99.2268582007987, 19.2988109133866], [-99.2271914143745, 19.3026026744081]]]}"
3789,Sección 3789 · Tlalpan,14,14,2,19.302286573396916,-99.22960850896321,1210,636,630,urbana,9.367122037512273e-06,"{""type"": ""Polygon"", ""coordinates"": [[[-99.2314955758182, 19.3033680445867], [-99.23035357231008, 19.3018717061084], [-99.2274677828684, 19.3043505838497], [-99.2243992895485, 19.3055162998116], [-99.2232161002551, 19.3039830087413], [-99.2245896151235, 19.3050053461108], [-99.228955356847, 19.3030427670533], [-99.230852652966, 19.2994217880534], [-99.2332371290169, 19.3007854673203], [-99.2314955758182, 19.3033680445867]]]}"
3790,Sección 3790 · Tlalpan,14,14,5,19.29745856156837,-99.23231465704403,1881,1568,1552,urbana,8.42493541124774e-06,"{""type"": ""Polygon"", ""coordinates"": [[[-99.2325150349895, 19.2998665859365], [-99.230852652966, 19.2994217880534], [-99.2306805369918, 19.2969730406745], [-99.23498871181141, 19.2949285103626], [-99.2325150349895, 19.2998665859365]]]}"
3791,Sección 3791 · Tlalpan,14,14,5,19.29740130614092,-99.2296704697733,1970,1643,1629,urbana,9.512302841756046e-06,"{""type"": ""Polygon"", ""coordinates"": [[[-99.230852652966, 19.2994217880534], [-99.22818482770461, 19.2989862216545], [-99.2285016253519, 19.2957223838886], [-99.2312138983791, 19.2955049336817], [-99.230852652966, 19.2994217880534]]]}"
3792,Sección 3792 · Tlalpan,14,14,5,19.297209353120806,-99.22678205329994,1898,1531,1523,urbana,9.257843233167217e-06,"{""type"": ""Polygon"", ""coordinates"": [[[-99.22818482770461, 19.2989862216545], [-99.2256517528178, 19.298816141266], [-99.2247503871923, 19.2960227191574], [-99.2285016253519, 19.2957223838886], [-99.22818482770461, 19.2989862216545]]]}"
3793,Sección 3793 · Tlalpan,14,14,2,19.297404951239155,-99.22346432134457,1765,1565,1544,urbana,6.354565771145874e-06,"{""type"": ""Polygon"", ""coordinates"": [[[-99.2231397601794, 19.2990385284558], [-99.2219107756455, 19.2991129459019], [-99.22225521766092, 19.296200535818], [-99.2247503871923, 19.2960227191574], [-99.2249927928289, 19.2985102508098], [-99.2230459294246, 19.2979326867382], [-99.2231397601794, 19.2990385284558]]]}"
3794,Sección 3794 · Tlalpan,14,14,5,19.294709178158563,-99.22340192627559,1914,1665,1651,urbana,7.0271745368335924e-06,"{""type"": ""Polygon"", ""coordinates"": [[[-99.2247503871923, 19.2960227191574], [-99.22225521766092, 19.296200535818], [-99.222055065865, 19.2934038711627], [-99.2245413079666, 19.2932071698048], [-99.2247503871923, 19.2960227191574]]]}"
3795,Sección 3795 · Tlalpan,14,14,5,19.294624455991478,-99.22627481413865,1865,1575,1562,urbana,8.828016305541882e-06,"{""type"": ""Polygon"", ""coordinates"": [[[-99.2285016253519, 19.2957223838886], [-99.2247503871923, 19.2960227191574], [-99.2245413079666, 19.2932071698048], [-99.2270164931829, 19.292991450821], [-99.2285016253519, 19.2957223838886]]]}"
3796,Sección 3796 · Tlalpan,14,14,5,19.293419708514875,-99.22877954718442,1808,1612,1600,urbana,1.1497373351385571e-05,"{""type"": ""Polygon"", ""coordinates"": [[[-99.2305507692576, 19.2955510586422], [-99.2271250079507, 19.294427711046], [-99.2269129449116, 19.2916209010678], [-99.22993021855069, 19.2913836004483], [-99.2305507692576, 19.2955510586422]]]}"
3797,Sección 3797 · Tlalpan,14,14,5,19.29245830035917,-99.2315227219254,1865,1522,1512,urbana,1.2745433355256411e-05,"{""type"": ""Polygon"", ""coordinates"": [[[-99.2336104885979, 19.2939339883724], [-99.2310983015874, 19.294109147367], [-99.2305507692576, 19.2955510586422], [-99.22982432977868, 19.2900161489504], [-99.2333774741127, 19.2911356769594], [-99.2336104885979, 19.2939339883724]]]}"
3798,Sección 3798 · Tlalpan,14,14,5,19.294726835407914,-99.23417004677452,1965,1682,1665,urbana,9.8142058946149e-06,"{""type"": ""Polygon"", ""coordinates"": [[[-99.23192828969, 19.2968878644414], [-99.2310983015874, 19.294109147367], [-99.2401727015335, 19.2940822752085], [-99.23235474054631, 19.2954508392475], [-99.23192828969, 19.2968878644414]]]}"
