cve,nombre,distrito,lat,lon,area,geometry_geojson
12-020,CHIMALCOYOC,16,19.273820696965025,-99.16519220055031,4.171911009339683e-05,"{""type"": ""Polygon"", ""coordinates"": [[[-99.17110514209, 19.275016722127194], [-99.1688383077094, 19.274094668053095], [-99.1673377662914, 19.2784259400429], [-99.1660854762368, 19.2760338964002], [-99.16289227644211, 19.2775100521542], [-99.1634604673889, 19.2761437135202], [-99.1609108447548, 19.272675780067296], [-99.1623170166116, 19.269907847028797], [-99.17154581262211, 19.2735416184577], [-99.17110514209, 19.275016722127194]]]}"
12-022,CHIMILLI,14,19.268836587858612,-99.219268613788,2.162347470724447e-05,"{""type"": ""Polygon"", ""coordinates"": [[[-99.2223117861079, 19.268398081740095], [-99.2164482219287, 19.271636224830896], [-99.2137045544108, 19.2686817671091], [-99.22395262203241, 19.266361138150888], [-99.2223117861079, 19.268398081740095]]]}"
12-023,CLUB DE GOLF MEXICO-SAN BUENAVENTURA,16,19.280564740523328,-99.1562187126158,0.00010154370264618871,"{""type"": ""Polygon"", ""coordinates"": [[[-99.1594470152178, 19.275485548663795], [-99.16070219081172, 19.275962093821995], [-99.1596575869768, 19.277525492790396], [-99.16231093514959, 19.2786579867632], [-99.1607684962664, 19.2808850741113], [-99.16293361859148, 19.2814564973468], [-99.1604106047902, 19.284367669754996], [-99.1569328220163, 19.286629850994103], [-99.1485058527545, 19.283397644456596], [-99.15074693668309, 19.278947783262005], [-99.1533171176044, 19.2785097511689], [-99.1548238183074, 19.2734555626007], [-99.1594470152178, 19.275485548663795]]]}"
12-024,COAPA 2A SECCION-RAMOS MILLAN,16,19.299329554836106,-99.11780520578068,2.4208775535346686e-05,"{""type"": ""Polygon"", ""coordinates"": [[[-99.11784582618688, 19.301562999097296], [-99.1158703483095, 19.301100183902598], [-99.1152747474614, 19.298148209287998], [-99.11403173382341, 19.2980234655655], [-99.1144834198116, 19.295045878176797], [-99.1166135073896, 19.298025935779503], [-99.1191222485782, 19.297063575592897], [-99.121887795472, 19.3027856526938], [-99.11784582618688, 19.301562999097296]]]}"
12-093,COAPA-VILLA CUEMANCO,16,19.293379153504652,-99.11074710495822,2.14956087360765e-05,"{""type"": ""Polygon"", ""coordinates"": [[[-99.11329778312088, 19.294835867123805], [-99.1132150425678, 19.296369218955103], [-99.11012826675278, 19.2957903985281], [-99.11036821739361, 19.294291512469105], [-99.10563292205228, 19.293190295305106], [-99.112930600967, 19.2902690674132], [-99.11329778312088, 19.294835867123805]]]}"
12-025,COLINAS DEL BOSQUE-LAS TORTOLAS,16,19.278217502575338,-99.14944393605646,4.3058831602622356e-05,"{""type"": ""Polygon"", ""coordinates"": [[[-99.147589314838, 19.2831046193947], [-99.14774223445109, 19.2817110312725], [-99.1450184816173, 19.280387535848803], [-99.14616265267432, 19.2769172812637], [-99.1489354650813, 19.2789346360573], [-99.1496583692661, 19.278121180177596], [-99.1479167121737, 19.2746029741447], [-99.15400114000511, 19.275495271894197], [-99.1533171176044, 19.2785097511689], [-99.15074693668309, 19.278947783262005], [-99.1508870181075, 19.2808497655051], [-99.147589314838, 19.2831046193947]]]}"
12-026,CONDOMINIO DEL BOSQUE (FRACC)-BOSQUE DE TLALPAN,14,19.291381394177282,-99.19829383060072,0.0002417863990970796,"{""type"": ""Polygon"", ""coordinates"": [[[-99.19589417421071, 19.286092919172205], [-99.2095171621802, 19.2861234001139], [-99.2123102603618, 19.2881162951778], [-99.21083307844881, 19.292495866652803], [-99.2121854334542, 19.293243435952697], [-99.20552273957699, 19.292907514604696], [-99.20530901374498, 19.297655567344997], [-99.18905098417771, 19.2963279115392], [-99.1845771295775, 19.2943265859072], [-99.1875644090966, 19.2872559055207], [-99.19589417421071, 19.286092919172205]]]}"
12-218,CONJUNTO HABITACIONAL PEDREGAL DEL LAGO,14,19.309479525107996,-99.2245591291239,4.385545989764738e-06,"{""type"": ""Polygon"", ""coordinates"": [[[-99.2240413170573, 19.310913034753998], [-99.2231492084319, 19.3097356601892], [-99.22490249679728, 19.307888926706795], [-99.22600979743719, 19.3090685335706], [-99.2240413170573, 19.310913034753998]]]}"
12-027,CONJUNTO URBANO CUEMANCO (U HAB),16,19.296706291885265,-99.1053436492907,6.284219667457168e-06,"{""type"": ""Polygon"", ""coordinates"": [[[-99.1056129810452, 19.2933913269421], [-99.1061531022657, 19.29962655891489], [-99.1049827601848, 19.299694907809002], [-99.1045740732387, 19.293620271442098], [-99.1056129810452, 19.2933913269421]]]}"
12-029,CRUZ DEL FAROL,14,19.269073373185098,-99.20961186962178,3.1009994153852544e-05,"{""type"": ""Polygon"", ""coordinates"": [[[-99.20560848692709, 19.269598791080995], [-99.2045028588694, 19.266232260810796], [-99.2058539304105, 19.265266644807898], [-99.2137045544108, 19.2686817671091], [-99.216687797347, 19.271829810241492], [-99.2147536434344, 19.272643070137196], [-99.2082849060266, 19.2682690650926], [-99.2064690487767, 19.268788321608397], [-99.20853319757461, 19.2714329398232], [-99.2061115213814, 19.272185431138393], [-99.20560848692709, 19.269598791080995]]]}"
12-030,CUCHILLA DE PADIERNA,14,19.27619615634739,-99.21837748112573,1.84495393143122e-05,"{""type"": ""Polygon"", ""coordinates"": [[[-99.21836812790909, 19.274791015253], [-99.22045333015228, 19.2727094678071], [-99.2213631020545, 19.278157676309295], [-99.2143935321018, 19.2771137699371], [-99.21836812790909, 19.274791015253]]]}"
12-031,CUILOTEPEC II,14,19.26788215313092,-99.23152526494607,7.625604973454268e-06,"{""type"": ""Polygon"", ""coordinates"": [[[-99.2289802591796, 19.2662335235098], [-99.23419740754389, 19.2672993930782], [-99.2337751150611, 19.2693024568477], [-99.23071444780392, 19.268628363684595], [-99.2289802591796, 19.2662335235098]]]}"
12-032,CULTURA MAYA,14,19.275886342273285,-99.22301661746499,2.153998357653975e-05,"{""type"": ""Polygon"", ""coordinates"": [[[-99.2257356975808, 19.278713749761792], [-99.2213515482311, 19.277966296315597], [-99.22045333015228, 19.2727094678071], [-99.22539604191331, 19.2749915274256], [-99.2257356975808, 19.278713749761792]]]}"
